code,name,predict,index,start_date,end_date
005320,국동,34666297.0,23225806.0,2019-11-25,2020-05-21
026890,디피씨,29502237.0,21599169.0,2019-11-25,2020-05-21
001200,유진증권,29502100.0,14511628.0,2019-11-25,2020-05-21
013810,스페코,29502061.0,12705061.0,2019-11-25,2020-05-21
032680,소프트센,29501172.0,11013216.0,2019-11-25,2020-05-21
002140,고려산업,29500598.0,10638607.0,2019-11-25,2020-05-21
032850,비트컴퓨터,29500384.0,29468599.0,2019-11-25,2020-05-21
032190,다우데이타,29494532.0,16686747.0,2019-11-25,2020-05-21
037070,파세코,29494337.0,18327796.0,2019-11-25,2020-05-21
003090,대웅,29489968.0,13396947.0,2019-11-25,2020-05-21
002620,제일파마홀딩스,29488817.0,10645161.0,2019-11-25,2020-05-21
002020,코오롱,29486535.0,10343840.0,2019-11-25,2020-05-21
036580,팜스코,27130670.0,15062762.0,2019-11-25,2020-05-21
025320,시노펙스,27052334.0,11079545.0,2019-11-25,2020-05-21
016250,이테크건설,25452289.0,14151473.0,2019-11-25,2020-05-21
000910,유니온,24806139.0,14918415.0,2019-11-25,2020-05-21
023900,풍국주정,24805783.0,13466258.0,2019-11-25,2020-05-21
036810,에프에스티,24805600.0,17462687.0,2019-11-25,2020-05-21
007460,에이프로젠 KIC,24805596.0,13687500.0,2019-11-25,2020-05-21
020120,키다리스튜디오,24804570.0,15490654.0,2019-11-25,2020-05-21
009190,대양금속,22747019.0,3565217.0,2019-11-25,2020-05-21
012600,청호컴넷,22746717.0,11423150.0,2019-11-25,2020-05-21
000370,한화손해보험,22745720.0,8847518.0,2019-11-25,2020-05-21
033230,인성정보,22744348.0,22702703.0,2019-11-25,2020-05-21
023960,에쓰씨엔지니어링,22185102.0,8815789.0,2019-11-25,2020-05-21
033320,제이씨현시스템,21956255.0,9780793.0,2019-11-25,2020-05-21
010100,한국프랜지공업,21873214.0,12399050.0,2019-11-25,2020-05-21
003060,에이프로젠제약,21795997.0,19351852.0,2019-11-25,2020-05-21
015860,일진홀딩스,21375806.0,10225847.0,2019-11-25,2020-05-21
006650,대한유화,21352146.0,11379310.0,2019-11-25,2020-05-21
002700,신일전자,21311682.0,14591195.0,2019-11-25,2020-05-21
004430,송원산업,21174406.0,10099010.0,2019-11-25,2020-05-21
005750,대림비앤코,21131316.0,10291971.0,2019-11-25,2020-05-21
001120,LG상사,21129095.0,9276316.0,2019-11-25,2020-05-21
002210,동성제약,21022276.0,8411215.0,2019-11-25,2020-05-21
008250,이건산업,20840255.0,8675676.0,2019-11-25,2020-05-21
011760,현대종합상사,20680596.0,8347578.0,2019-11-25,2020-05-21
038680,에스넷,20569336.0,10643713.0,2019-11-25,2020-05-21
011320,유니크,20452669.0,11868687.0,2019-11-25,2020-05-21
001520,동양,20416672.0,10719178.0,2019-11-25,2020-05-21
034940,조아제약,20373423.0,13434728.0,2019-11-25,2020-05-21
039610,화성밸브,20244217.0,9109375.0,2019-11-25,2020-05-21
001840,이화공영,20220817.0,10310680.0,2019-11-25,2020-05-21
007110,일신석재,20196588.0,9392789.0,2019-11-25,2020-05-21
006840,AK홀딩스,20139120.0,7710652.0,2019-11-25,2020-05-21
011390,부산산업,20102184.0,9044586.0,2019-11-25,2020-05-21
001680,대상,19927949.0,11282051.0,2019-11-25,2020-05-21
004830,덕성,19707463.0,12333333.0,2019-11-25,2020-05-21
005420,코스모화학,19654397.0,19448568.0,2019-11-25,2020-05-21
008600,윌비스,19536351.0,10959410.0,2019-11-25,2020-05-21
010660,화천기계,19356156.0,12593857.0,2019-11-25,2020-05-21
011790,SKC,19318098.0,11711518.0,2019-11-25,2020-05-21
037460,삼지전자,19285120.0,11081654.0,2019-11-25,2020-05-21
027830,대성창투,19189505.0,9393204.0,2019-11-25,2020-05-21
005070,코스모신소재,19171257.0,16666667.0,2019-11-25,2020-05-21
001440,대한전선,19170860.0,12770492.0,2019-11-25,2020-05-21
026150,특수건설,19123518.0,10550725.0,2019-11-25,2020-05-21
014970,삼륭물산,19102114.0,7554455.0,2019-11-25,2020-05-21
035810,이지바이오,19038833.0,8007519.0,2019-11-25,2020-05-21
008700,아남전자,19027426.0,8520286.0,2019-11-25,2020-05-21
001210,금호전기,19022723.0,9564607.0,2019-11-25,2020-05-21
010170,대한광통신,18961863.0,10882353.0,2019-11-25,2020-05-21
007810,코리아써키트,18957896.0,9860697.0,2019-11-25,2020-05-21
013030,하이록코리아,18832499.0,7198880.0,2019-11-25,2020-05-21
005390,신성통상,18831278.0,7616099.0,2019-11-25,2020-05-21
007280,한국특수형강,18784143.0,8758170.0,2019-11-25,2020-05-21
000520,삼일제약,18741410.0,9313725.0,2019-11-25,2020-05-21
